feature,mean_importance
unhealthy_j,-0.002278482824118011
name_j,-2.2204460492503132e-17
nonwhite_i,-2.2204460492503132e-17
households_j,-1.1102230246251566e-17
university_i,1.5596471504109032e-05
married_j,0.00012133783398009524
name_i,0.00020184039047697056
households_i,0.0006678101077172372
employed_i,0.0007968053994346525
university_j,0.001046227545996614
employed_j,0.0011991431378365225
unhealthy_i,0.0012402000915319622
married_i,0.0013304949708545233
density_i,0.001422831639859312
density_j,0.0033368977782096687
nonwhite_j,0.005072903940231299
population_j,0.06589539408150207
population_i,0.1976797076970458
distance,1.0943813300386125
